,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E52,3.016,0.462,2.238,3.833,0.01,0.007,2294.0,6060.0,1.03
lf0,2.34,0.373,1.705,2.924,0.006,0.004,4492.0,8694.0,1.02
n017,-0.023,0.793,-1.393,1.32,0.015,0.011,2949.0,5754.0,1.02
eps_e,-0.74,0.437,-1.486,-0.002,0.008,0.006,2876.0,5507.0,1.02
eps_b,-3.013,1.327,-5.238,-0.611,0.024,0.017,3408.0,5083.0,1.02
p,2.403,0.015,2.375,2.432,0.0,0.0,2570.0,4169.0,1.03
k,2.126,0.025,2.082,2.173,0.0,0.0,5304.0,9228.0,1.02
rv_milky_way,0.435,0.018,0.403,0.468,0.001,0.0,1045.0,3185.0,1.06
ebv_source_frame,0.158,0.031,0.101,0.216,0.001,0.001,1245.0,4403.0,1.05
g_offset,0.027,0.027,-0.023,0.078,0.0,0.0,3756.0,5760.0,1.02
r_offset,0.018,0.026,-0.03,0.068,0.0,0.0,6033.0,6840.0,1.01
i_offset,-0.004,0.026,-0.052,0.044,0.0,0.0,3537.0,4108.0,1.02
z_offset,0.065,0.031,0.008,0.125,0.001,0.0,2363.0,3169.0,1.03
r2_offset,-0.048,0.025,-0.093,-0.001,0.0,0.0,2880.0,3848.0,1.02
i2_offset,-0.043,0.025,-0.089,0.004,0.0,0.0,4889.0,4879.0,1.02
z2_offset,0.114,0.032,0.053,0.173,0.001,0.001,2412.0,1859.0,1.03
uvot-u_offset,0.008,0.028,-0.047,0.06,0.0,0.0,3394.0,4840.0,1.02
uvot-b_offset,-0.002,0.019,-0.037,0.035,0.0,0.0,3325.0,4186.0,1.02
uvot-v_offset,-0.008,0.019,-0.043,0.029,0.0,0.0,6195.0,4997.0,1.02
slop,0.047,0.002,0.043,0.052,0.0,0.0,2704.0,10599.0,1.02
