run_id,p,n,chosen_snapshot,bundle_file,campaign_source,bytes,sha256
p4_n21,4,-21,test0004.vtu,selected_vtu/p4_n21__test0004.vtu,pressure_p4_n21/output/Ostar_1D/test0004.vtu,107482,80a589822cccc526aa5c7948f5b7e51f371c3570c06b5daf1fd25ce098cc6eac
p4_n22,4,-22,test0004.vtu,selected_vtu/p4_n22__test0004.vtu,pressure_p4_n22/output/Ostar_1D/test0004.vtu,111022,7e240db29727dbf8890cb6fd8cb8f6c265c169ead73020fa8b771f00ca825163
p4_n23,4,-23,test0004.vtu,selected_vtu/p4_n23__test0004.vtu,pressure_p4_n23/output/Ostar_1D/test0004.vtu,114562,9177e7b192900e9c1564755e8eb1353d9529702f614c3ac49aa2ee2f236a7598
p4_n24,4,-24,test0004.vtu,selected_vtu/p4_n24__test0004.vtu,pressure_p4_n24/output/Ostar_1D/test0004.vtu,121642,071e43d6fd36a8ea16840e282a494b62c48443ecbf1428b18913fd03f7cb1834
p5_n20,5,-20,test0003.vtu,selected_vtu/p5_n20__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p5_n20/output/Ostar_1D/test0003.vtu,62642,482be5f7e1eeac3367a2ccaa633b412a1d17790d6c1a05c2dc405c30ba44d97c
p5_n21,5,-21,test0003.vtu,selected_vtu/p5_n21__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p5_n21/output/Ostar_1D/test0003.vtu,72082,7ed2f2949ee3dd6e3d3ee52e90402f7c67f31b16fa4a5ab147bf69700bd31f24
p5_n22,5,-22,test0003.vtu,selected_vtu/p5_n22__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p5_n22/output/Ostar_1D/test0003.vtu,63822,e8214b399777f671dd29b06e358760ccc645df1e326885fa934f4fe222aee442
p5_n23,5,-23,test0003.vtu,selected_vtu/p5_n23__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p5_n23/output/Ostar_1D/test0003.vtu,60282,91e3e724b005487c44b64f9bdaebffa695e2919a9f9a49c7f9703fdcea7d055b
p6_n19,6,-19,test0004.vtu,selected_vtu/p6_n19__test0004.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p6_n19/output/Ostar_1D/test0004.vtu,103942,f13441615052f8e82a7f7e800cfb4295ba70121cc5f4b1102a0b59149434149e
p6_n20,6,-20,test0003.vtu,selected_vtu/p6_n20__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p6_n20/output/Ostar_1D/test0003.vtu,69722,b176d2737c175ad0abe2bd466d350e9f88d6643654b070af0308fd17c01c25f8
p6_n21,6,-21,test0003.vtu,selected_vtu/p6_n21__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p6_n21/output/Ostar_1D/test0003.vtu,67362,654326137c1c4cbe0c94f9830adc83268224fa436183480f2d0e577c0a4f07f6
p6_n22,6,-22,test0003.vtu,selected_vtu/p6_n22__test0003.vtu,_archive_pre_innerfix_20260503T174140Z/pressure_p6_n22/output/Ostar_1D/test0003.vtu,67362,e7dcd3272d4bb1023321fc31bf483588da0393f937a1407a5720c19b1f132162
