pressure_exponent,feature,degree,c0,c1,c2,c3
4,x_ts,3,-200.71629259366625,-25.153400507182916,-1.0453020648798168,-0.014455761044992497
4,y_pre,3,-197.14584401481667,-27.032423355727836,-1.234966957700164,-0.018797742101056013
4,x_4outer,3,-258.1227200016582,-33.14057842511993,-1.4115061809311593,-0.020028610470217496
4,x_inflect,3,-722.9194270263472,-92.78226602888864,-3.956186476425861,-0.056212442356429144
4,x_final_rise,3,-1217.28150903573,-148.91477991860106,-6.02320546395762,-0.08100495484265115
4,y_flat_min,3,-1.364555398325533,-0.18711947531840983,-0.008549127768980272,-0.000130138932328307
4,x_peak_wall,3,1531.9255682487033,204.2700889852297,8.905153582888103,0.1256941547057541
4,y_peak_wall,3,1193.4286862827973,153.0086132606131,6.544365735735663,0.09329977399054876
4,width_peak_wall_dex,3,-1088.507981751104,-144.87396413442863,-6.415906583904539,-0.09455259222032918
5,x_ts,3,-168.24574577438585,-22.76564272716799,-1.0235333072176624,-0.01533621595096804
5,y_pre,3,-0.331955892266587,-0.04770894895972307,-0.002284418628901513,-3.644312505412167e-05
5,x_inflect,3,1.4365738875161456,-3.7631561843948535e-14,-1.7521945132584858e-15,-2.710991678270193e-17
5,x_final_rise,3,-2459.435775119186,-332.3653333330424,-14.919939273426852,-0.22329668350668516
5,y_flat_min,3,-1.010428073143874,-0.14524539949331874,-0.006956002199547599,-0.00011099039050265195
5,x_peak_wall,3,-71400.98602755234,-9920.520857574755,-458.71232219523716,-7.060539469708726
5,y_peak_wall,3,712.8728320152538,96.38425030081831,4.348629787907812,0.06537837748976705
5,width_peak_wall_dex,3,-1645.9678786905206,-229.25330095271391,-10.62300791670861,-0.16378015490399916
6,x_ts,3,427.0697364250916,61.08620541401392,2.9136214192460614,0.0462861641570777
6,y_pre,3,-0.04724525088654484,-0.008994718023861223,-0.0005415147908764111,-1.0494978668972466e-05
6,x_inflect,3,746.1085566817352,106.54784316456555,5.0775447196425265,0.08059594793083127
6,x_final_rise,3,1078.393395056779,153.90865440501227,7.39036233034277,0.11800049991283394
6,y_flat_min,3,-0.9470926810525423,-0.1430267552451064,-0.007195847801466767,-0.00012061336679227687
6,x_peak_wall,3,16060.36640370636,2210.5688634622584,100.99108283268913,1.528224963623886
6,y_peak_wall,3,136.44832881800255,19.244964236940735,0.9111248983838012,0.014372926711854452
6,width_peak_wall_dex,3,-702.014798128899,-104.13286617732163,-5.137829399386339,-0.08434546697207977
