pressure_exponent,run_id,loo_rms_log10,loo_mad_log10
4,p4_n24,0.8209894362501124,0.9762322726054162
4,p4_n23,0.23247475066394313,0.09254479100606039
4,p4_n22,0.32549299569753254,0.08162895175549911
4,p4_n21,2.003960885690775,0.8398254168586323
5,p5_n23,0.7862099009213296,0.9739824642212116
5,p5_n22,0.060493828410349094,0.06611454170469955
5,p5_n21,0.49907731640546926,0.07028131527608394
5,p5_n20,1.6321271987035215,0.6845062856190891
6,p6_n22,0.8031779384016059,0.987146702873317
6,p6_n21,0.42375261603204695,0.13728735667066783
6,p6_n20,0.6686454170106672,0.23481726158996086
6,p6_n19,1.1535163258486962,0.8028748533387731
