run_id,p,n,chosen_snapshot,final_snapshot,final_valid_fraction,chosen_valid_fraction,x_ts,x_final_rise,x_max,headroom_ratio,tail_ratio,tail_slope,shock_cells_12_38,shock_width_dex_12_38,outer_rise_cells,outer_rise_width_dex,domain_issue,resolution_issue,decent_quality
p4_n21,4,-21,test0004.vtu,test0004.vtu,1.0,1.0,0.40171048285146116,3.882146447373879,24.21782089272669,6.238255362341908,0.9999999682655226,2.3237956390904615e-23,15.0,0.022140172317989027,56.0,0.08183282586232012,0,0,1
p4_n22,4,-22,test0004.vtu,test0004.vtu,1.0,1.0,0.6572627696068645,6.152963782554367,32.89315047666177,5.345903476617958,1.0000000313743949,1.0501601126919795e-24,13.0,0.01777005124579302,57.0,0.08172509513807773,0,0,1
p4_n23,4,-23,test0004.vtu,test0004.vtu,1.0,1.0,0.7303713845416626,7.070024229049674,32.89315047666177,4.652480587196395,1.0211074327318217,-0.04570029539996928,9.0,0.01338316999588191,62.0,0.08912164204338996,0,0,1
p4_n24,4,-24,test0004.vtu,test0004.vtu,1.0,1.0,0.7077708939255919,7.1193575159144,32.89315047666177,4.62024141969741,1.0032868085030848,-0.004015331691570396,7.0,0.01024091422129406,59.0,0.0852284072774155,0,0,1
p5_n20,5,-20,test0003.vtu,test0004.vtu,0.11500974658869395,1.0,0.3435134896531812,6.268650224399094,48.28054357951679,7.701904214019998,0.9999999682655226,1.887969256194031e-24,3.0,0.005122593347024785,59.0,0.09151257668360921,0,0,1
p5_n21,5,-21,test0003.vtu,test0004.vtu,0.12667946257197696,1.0,0.48325893506773904,8.49359124887092,48.28054357951679,5.684349783836709,0.9999999682655226,5.593808898064416e-24,3.0,0.005030669693526319,61.0,0.09550805235613868,0,0,1
p5_n22,5,-22,test0003.vtu,test0004.vtu,0.0,1.0,0.5083009758689759,9.014035848331826,48.28054357951679,5.356151716265005,1.0030279319641229,-0.008142803514335715,4.0,0.004862968296171548,63.0,0.09778792970037571,0,0,1
p5_n23,5,-23,test0003.vtu,test0004.vtu,0.0,1.0,0.5106569077624942,9.169764123818915,48.28054357951679,5.265189259787577,1.001334042496778,-0.0025209514339693093,3.0,0.005066336823641483,64.0,0.09836381697455215,0,0,1
p6_n19,6,-19,test0004.vtu,test0004.vtu,1.0,1.0,0.7723659532594042,12.684333713158798,70.86614304962517,5.586903076833136,0.9999999682655225,6.745367546424554e-24,5.0,0.007172307308766433,86.0,0.13209680487981873,0,0,1
p6_n20,6,-20,test0003.vtu,test0004.vtu,0.0,1.0,0.5048825866162635,12.361239790971293,70.86614304962517,5.73293166769454,1.0091049326760013,0.05469046368640957,3.0,0.005046737011192728,78.0,0.1200064932464394,0,0,1
p6_n21,6,-21,test0003.vtu,test0004.vtu,0.0,1.0,0.510302359615965,12.658810539929375,70.86614304962517,5.598167602405757,1.0018435551336857,-0.003793373704999012,3.0,0.005073305100264237,79.0,0.12143363863236849,0,0,1
p6_n22,6,-22,test0003.vtu,test0004.vtu,0.0,1.0,0.5109082873158174,12.869042960555474,70.86614304962517,5.5067143117662205,1.0006242727859145,-0.001134912639317664,3.0,0.005109148286149599,80.0,0.12183875345139297,0,0,1
