model,band,n,minus2_loglike,median_fractional_residual,rms_fractional_residual
CCM,i,11,-159.10146296844223,0.027141133621968298,0.03581156121261678
CCM,nan,2,20.687370247971987,-0.134449460886846,0.13476735241581597
CCM,r,12,-135.24481338139807,-0.0317564218118394,0.20229851251820477
CCM,uvm2,3,-15.876828194386892,0.07038278230559272,0.3349273634875987
CCM,uvot-b,13,-31.325741223269496,1.8822511927702827,1.9791255690477048
CCM,uvot-u,38,-75.53812159140844,-0.14859404048097652,0.358051890343611
CCM,uvot-v,12,-12.586162597708034,1.5743580334920257,2.250759192512775
CCM,uvw1,11,-43.85039909659838,0.10566302136888159,0.6355855521720996
CCM,uvw2,2,-6.722099037997114,-0.10153790093338749,0.13132180808586333
CCM,xray,503,-23302.37033618339,-0.04443139390428634,0.19767133070796095
CCM,ALL,607,-23761.928594026627,-0.03710947257585878,0.482977529584413
Trotter,i,11,-158.7616793813165,-0.007743985909780348,0.036589475623550353
Trotter,nan,2,10.039801344426973,-0.09591830701309431,0.09598809439952966
Trotter,r,12,-130.48932535958792,-0.037118737579603406,0.20037497218625933
Trotter,uvm2,3,-14.74565307369308,-0.08537880975372437,0.35708178686541164
Trotter,uvot-b,13,-28.781862666437092,1.9717135448208638,2.064123561917696
Trotter,uvot-u,38,-77.6490065702939,-0.1089458497806365,0.35148963243316417
Trotter,uvot-v,12,-8.415096956307282,1.794132680502128,2.470105776238698
Trotter,uvw1,11,-44.800997478668286,-0.006942550792279991,0.5451475155924222
Trotter,uvw2,2,-7.122901906669059,-0.10678883702712837,0.14056902875342947
Trotter,xray,503,-23299.702222160042,-0.040696334488830234,0.19846257035791195
Trotter,ALL,607,-23760.428944208586,-0.03720206954655484,0.5090896312295999
