event,filter,included_points,nominal_frequency_hz,status,canonical_response,pivot_wavelength_angstrom,response_source
050525A,H,5,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050525A,I,20,3.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050525A,J,7,2.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050525A,R,7,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050525A,uvm2,5,1.33e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
050525A,uvot-b,6,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
050525A,uvot-u,6,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
050525A,uvot-v,5,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
050525A,uvw1,5,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
050525A,uvw2,4,1.55e+15,integrated_verified,uvw2,2057.9601,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw2_20041120v105.arf
050525A,V,8,5.47e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050922C,B,11,6.86e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050922C,Ic,5,3.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
050922C,Rc,104,4.63e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,B,9,6.86e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,g,2,6.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,H,1,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,I,8,3.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,i,13,3.93e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,J,3,2.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,K,2,1.36e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,R,44,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,r,64,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,uvm2,4,1.33e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
080319B,uvot-b,3,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
080319B,uvot-u,4,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
080319B,uvot-v,1,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
080319B,uvw1,4,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
080319B,V,9,5.47e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080319B,W,3,9.7e+10,radio_frequency_channel,,,modeled at measured frequency
080319B,z,2,3.28e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,g,53,6.29e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,H,13,1.82e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,i,50,3.94e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,I,3,3.43e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,J,12,2.4e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,K,9,1.36e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,r,57,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,R,1,4.35e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
080413B,uvm2,1,1.33e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
080413B,uvot-b,1,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
080413B,uvot-u,1,8.65e+14,integrated_verified,uvot-u,3467.0363,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuuu_20041120v104.arf
080413B,uvot-v,2,5.48e+14,integrated_verified,uvot-v,5424.6578,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuvv_20041120v104.arf
080413B,uvw1,1,1.15e+15,integrated_verified,uvw1,2582.5294,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swuw1_20041120v106.arf
080413B,z,50,3.29e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
090424,i,11,3.94e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
090424,r,12,4.81e+14,instrument_ambiguous_monochromatic,,,telescope/camera response not encoded in observation label
090424,uvm2,3,1.33e+15,integrated_verified,uvm2,2246.9531,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swum2_20041120v105.arf
090424,uvot-b,13,6.83e+14,integrated_verified,uvot-b,4349.5261,/Users/jkeohane/GRBs/VegasJetFit_ansh_extinction_review/jetfit/resources/filters/swift_uvot/swubb_20041120v104.arf
