Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,Include
1196.4,s,0.313328572,0.073445281,0.073445281,mJy,Spectral Flux,1550000000000000.0,,,Hz,uvw2,uvw2_offset,,slop_uvot,1
8010.0,s,0.044874539,0.013251762,0.013251762,mJy,Spectral Flux,1330000000000000.0,,,Hz,uvm2,uvm2_offset,,slop_uvot,1
19218.0,s,0.034994517,0.006418611,0.006418611,mJy,Spectral Flux,1330000000000000.0,,,Hz,uvm2,uvm2_offset,,slop_uvot,1
36240.0,s,0.021086281,0.00523735,0.00523735,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1098.0,s,0.244343055,0.065694298,0.065694298,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1270.2,s,0.366437575,0.083298375,0.083298375,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1442.4,s,0.304789499,0.075702734,0.075702734,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1616.4,s,0.145881426,0.052125225,0.052125225,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1789.2,s,0.190546072,0.059928983,0.059928983,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1962.6,s,0.124738351,0.047470293,0.047470293,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
2134.8,s,0.343557948,0.078097392,0.078097392,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
5650.2,s,0.110662378,0.01776574,0.01776574,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
25080.0,s,0.022490546,0.005894677,0.005894677,mJy,Spectral Flux,1150000000000000.0,,,Hz,uvw1,uvw1_offset,,slop_uvot,1
1122.0,s,0.394457302,0.063326181,0.063326181,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
1467.0,s,0.35318317,0.059418205,0.059418205,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
1641.0,s,0.293764965,0.056080937,0.056080937,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
1987.2,s,0.125892541,0.04038587,0.04038587,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
2159.4,s,0.220800473,0.050192234,0.050192234,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
5768.4,s,0.226986485,0.045016399,0.045016399,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
6240.0,s,0.081658237,0.013109414,0.013109414,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
30018.0,s,0.035974934,0.00893535,0.00893535,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
30324.0,s,0.029376497,0.008483535,0.008483535,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
30624.0,s,0.04130475,0.009094062,0.009094062,mJy,Spectral Flux,865000000000000.0,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,1
1147.2,s,0.265460556,0.040555096,0.040555096,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
1318.8,s,0.21677041,0.038121653,0.038121653,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
1493.4,s,0.173780083,0.034464403,0.034464403,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
1666.2,s,0.136772883,0.032060028,0.032060028,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
1838.4,s,0.164437172,0.035017588,0.035017588,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
2011.8,s,0.114815362,0.030869363,0.030869363,mJy,Spectral Flux,683000000000000.0,,,Hz,uvot-b,uvot-b_offset,,slop_uvot,1
